brand,model,model_year,Mileage(mi),fuel_type,engine,transmission,ext_col,accident,Accident_var,clean_title,price
Toyota,Land Cruiser Base,2008,175000,Gasoline,381.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,At least 1 accident or damage reported,1,Yes,37900
Toyota,Land Cruiser Base,2016,61500,Gasoline,381.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,None reported,0,Yes,63500
Toyota,Highlander Limited,2022,24001,Gasoline,3.5L V6 24V PDI DOHC,8-Speed Automatic,Wind Chill Pearl,None reported,0,No,47498
Nissan,Armada SL,2022,14735,Gasoline,5.6 Liter,Automatic,White,None reported,0,No,50998
Toyota,Camry Hybrid LE,2022,14048,Hybrid,2.5L I4 16V PDI DOHC Hybrid,Automatic CVT,Black,None reported,0,No,29999
Honda,CR-V EX,2003,224000,Gasoline,160.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,M/T,Black,None reported,0,Yes,3900
Nissan,Titan XD S,2019,53677,Gasoline,390.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,Red,None reported,0,Yes,27900
Toyota,Highlander XLE,2021,67039,Gasoline,3.5L V6 24V PDI DOHC,8-Speed Automatic,Blue,None reported,0,No,34645
Honda,Ridgeline RTL-E,2021,14442,Gasoline,280.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,9-Speed A/T,White,None reported,0,Yes,38500
Toyota,Highlander SE,2018,53607,Gasoline,3.5L V6 24V PDI DOHC,8-Speed Automatic,Midnight Black Metallic,At least 1 accident or damage reported,1,No,31853
Toyota,Tundra Hybrid TRD Pro,2022,7000,Hybrid,437.0HP 3.4L V6 Cylinder Engine Gas/Electric Hybrid,10-Speed A/T,Orange,None reported,0,Yes,75500
Toyota,Tundra Hybrid TRD Pro,2022,19000,Hybrid,437.0HP 3.4L V6 Cylinder Engine Gas/Electric Hybrid,10-Speed A/T,Orange,None reported,0,Yes,71000
Toyota,RAV4 Hybrid XLE,2019,54000,Hybrid,219.0HP 2.5L 4 Cylinder Engine Gas/Electric Hybrid,CVT Transmission,Gray,None reported,0,Yes,33000
Nissan,350Z Enthusiast,2005,130307,Gasoline,287.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,5-Speed A/T,Blue,None reported,0,Yes,9950
Honda,Civic LX,2003,160265,Gasoline,115.0HP 1.7L 4 Cylinder Engine Gasoline Fuel,A/T,White,At least 1 accident or damage reported,1,Yes,3000
Toyota,Yaris Base,2010,138071,Gasoline,106.0HP 1.5L 4 Cylinder Engine Gasoline Fuel,5-Speed M/T,Red,None reported,0,Yes,5000
Toyota,4Runner Limited,2019,48156,Gasoline,4.0L V6 24V MPFI DOHC,5-Speed Automatic,Midnight Black Metallic,None reported,0,No,40368
Nissan,370Z NISMO,2010,29000,Gasoline,350.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,M/T,Silver,None reported,0,Yes,29000
Honda,Accord EX-L,2009,167300,Gasoline,190.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,5-Speed A/T,Silver,None reported,0,Yes,6250
Toyota,Highlander Hybrid Limited,2006,264893,Hybrid,208.0HP 3.3L V6 Cylinder Engine Gas/Electric Hybrid,A/T,Gold,At least 1 accident or damage reported,1,Yes,5000
Toyota,Tundra SR5 Access Cab,2005,209500,Gasoline,282.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,5-Speed A/T,Blue,None reported,0,Yes,8500
Toyota,Tundra Limited,2020,44101,Gasoline,5.7L V8 32V MPFI DOHC,6-Speed Automatic,Gray,None reported,0,Yes,45423
Nissan,370Z Base,2009,79893,Gasoline,332.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Silver,None reported,0,Yes,15900
Toyota,Sequoia Platinum,2014,124838,Gasoline,381.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,A/T,Black,None reported,0,Yes,33000
Nissan,NV Passenger NV3500 HD SL V8,2020,14353,Gasoline,375.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,A/T,Black,None reported,0,Yes,63900
Nissan,Xterra S,2007,132272,Gasoline,261.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,M/T,Gray,At least 1 accident or damage reported,1,Yes,6700
Nissan,Z Proto Spec,2023,535,Gasoline,400.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Yellow,None reported,0,Yes,65990
Nissan,350Z Touring,2006,84200,Gasoline,300.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Silver,None reported,0,Yes,10200
Toyota,Sequoia SR5,2013,138700,E85 Flex Fuel,381.0HP 5.7L 8 Cylinder Engine Flex Fuel Capability,A/T,White,At least 1 accident or damage reported,1,Yes,18800
Toyota,Tundra SR5,2022,29322,Gasoline,3.4L V6 24V PDI DOHC Twin Turbo,10-Speed Automatic,Gray,None reported,0,No,44999
Honda,Ridgeline RTL-E,2019,26998,Gasoline,3.5L V6 24V GDI SOHC,6-Speed Automatic,Black,None reported,0,No,35557
Nissan,Murano SL,2005,125500,Gasoline,245.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,CVT Transmission,Black,None reported,0,Yes,3950
Nissan,Juke SV,2011,137483,Gasoline,188.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,CVT Transmission,White,None reported,0,Yes,3200
Toyota,Highlander Hybrid Limited Platinum,2017,34049,Hybrid,3.5L V6 24V PDI DOHC Hybrid,Automatic CVT,Shoreline Blue Pearl,None reported,0,No,37999
Toyota,Camry LE,2005,108000,Gasoline,160.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,5-Speed A/T,Beige,None reported,0,Yes,7850
Toyota,Sienna LE,2015,76000,Gasoline,266.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Red,None reported,0,Yes,18300
Toyota,Supra A91-MT Edition,2023,1500,Gasoline,382.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Gray,None reported,0,Yes,84900
Nissan,Maxima SV,2012,42259,Gasoline,290.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,CVT Transmission,Black,At least 1 accident or damage reported,1,Yes,17000
Toyota,Camry Solara SLE V6,2006,159890,Gasoline,225.0HP 3.3L V6 Cylinder Engine Gasoline Fuel,A/T,Blue,At least 1 accident or damage reported,1,Yes,6500
Honda,Pilot EX,2004,184000,Gasoline,240.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Blue,At least 1 accident or damage reported,1,Yes,10500
Toyota,GR86 Premium,2023,1075,Gasoline,228.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,White,None reported,0,Yes,35000
Nissan,Armada Platinum,2017,92000,Gasoline,390.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,None reported,0,Yes,20900
Toyota,Sequoia Platinum,2011,173456,E85 Flex Fuel,381.0HP 5.7L 8 Cylinder Engine Flex Fuel Capability,6-Speed A/T,Black,At least 1 accident or damage reported,1,Yes,16000
Toyota,Avalon XLE,2015,90000,Gasoline,268.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,White,None reported,0,Yes,18200
Toyota,Supra A91 Edition,2021,6400,Gasoline,382.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,None reported,0,Yes,68000
Toyota,Land Cruiser Base,2016,91000,Gasoline,381.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,A/T,Black,None reported,0,Yes,68500
Toyota,Tundra SR5 Access Cab,2004,229450,Gasoline,240.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,A/T,Gray,None reported,0,Yes,8250
Nissan,Rogue S,2022,21212,Gasoline,1.5L I3 12V GDI DOHC Turbo,Automatic CVT,Gun Metallic,None reported,0,No,28906
Toyota,Highlander Base,2001,231581,Gasoline,220.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,Beige,None reported,0,Yes,4300
Toyota,Highlander Hybrid XLE,2019,69350,Hybrid,306.0HP 3.5L V6 Cylinder Engine Gas/Electric Hybrid,A/T,Black,None reported,0,Yes,36000
Toyota,Camry Hybrid Base,2007,53249,Hybrid,147.0HP 2.4L 4 Cylinder Engine Gas/Electric Hybrid,A/T,Silver,At least 1 accident or damage reported,1,Yes,9250
Toyota,Sequoia SR5,2023,1539,Hybrid,3.4L V6 24V PDI DOHC Twin Turbo Hybrid,Automatic,Green,At least 1 accident or damage reported,1,Yes,76373
Nissan,Rogue SL,2016,97726,Gasoline,"2.5L I-4 DOHC, variable valve control, regular unleaded, engine",Variable,Gun Metallic,At least 1 accident or damage reported,1,No,15998
Nissan,GT-R Premium,2010,46100,Gasoline,485.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Blue,None reported,0,Yes,72999
Toyota,Highlander XLE,2018,61454,Gasoline,295.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Silver,None reported,0,Yes,31000
Toyota,Sequoia Limited,2023,8200,Hybrid,437.0HP 3.4L V6 Cylinder Engine Gas/Electric Hybrid,10-Speed A/T,Brown,None reported,0,Yes,78900
Toyota,Sequoia Limited,2012,150900,Gasoline,381.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,A/T,Black,None reported,0,Yes,17500
Toyota,Camry Hybrid LE,2022,20400,Hybrid,208.0HP 2.5L 4 Cylinder Engine Gas/Electric Hybrid,CVT Transmission,White,None reported,0,Yes,29900
Toyota,Tundra Hybrid Limited,2023,10748,Hybrid,3.4L V6 24V PDI DOHC Twin Turbo Hybrid,Automatic,Midnight Black Metallic,None reported,0,No,63100
Nissan,Armada Platinum,2018,108206,Gasoline,5.6 Liter,Automatic,White,At least 1 accident or damage reported,1,No,26498
Honda,Civic Si,2012,47245,Gasoline,201.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,White,None reported,0,Yes,19600
Nissan,370Z Touring,2009,37500,Gasoline,332.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Silver,None reported,0,Yes,21500
Nissan,Versa 1.8 S,2011,109902,Gasoline,122.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,A/T,Blue,None reported,0,Yes,4500
Toyota,Matrix XRS,2003,143600,Gasoline,180.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,None reported,0,Yes,4199
Toyota,Camry SE,2011,177702,Gasoline,179.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,A/T,Gray,At least 1 accident or damage reported,1,Yes,7700
Toyota,4Runner Trail,2016,117780,Gasoline,270.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,5-Speed A/T,Gray,None reported,0,Yes,27750
Nissan,Armada Platinum,2018,42833,Gasoline,390.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Blue,None reported,0,Yes,37000
Toyota,Tundra SR,2018,51000,Gasoline,381.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,A/T,Black,None reported,0,Yes,38000
Nissan,Frontier SL,2011,103400,Gasoline,261.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,5-Speed A/T,Gray,At least 1 accident or damage reported,1,Yes,17000
Honda,Insight EX,2020,64200,Hybrid,151.0HP 1.5L 4 Cylinder Engine Gas/Electric Hybrid,CVT Transmission,White,At least 1 accident or damage reported,1,Yes,20499
Toyota,Tundra SR5,2021,33455,Gasoline,381.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Green,None reported,0,Yes,44750
Nissan,Titan SE,2009,127600,E85 Flex Fuel,317.0HP 5.6L 8 Cylinder Engine Flex Fuel Capability,A/T,Brown,None reported,0,Yes,19500
Toyota,Supra 3.0 Premium,2022,24850,Gasoline,382.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,A/T,Black,None reported,0,Yes,53568
Nissan,Pathfinder SL,2015,115000,Gasoline,260.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Gray,None reported,0,Yes,11995
Toyota,Tacoma TRD Pro,2019,40698,Gasoline,3.5L V6 24V PDI DOHC,6-Speed,Super White,None reported,0,No,42886
Honda,S2000 Base,2002,110500,Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,Yellow,None reported,0,Yes,27000
Toyota,Corolla iM Base,2017,41932,Gasoline,137.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,None reported,0,Yes,18700
Toyota,Tundra 1794,2020,67400,Gasoline,381.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,A/T,Black,None reported,0,Yes,47500
Toyota,Sequoia Limited,2006,190656,Gasoline,273.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,A/T,Black,At least 1 accident or damage reported,1,Yes,8900
Nissan,370Z Base,2013,106700,Gasoline,332.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Red,None reported,0,Yes,17500
Nissan,370Z Touring,2012,65000,Gasoline,332.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Gray,None reported,0,Yes,21500
Toyota,4Runner TRD Pro,2016,98000,Gasoline,270.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,A/T,Black,At least 1 accident or damage reported,1,Yes,36000
Toyota,Camry Hybrid XLE,2014,94448,Hybrid,200.0HP 2.5L 4 Cylinder Engine Gas/Electric Hybrid,A/T,Silver,None reported,0,Yes,15999
Toyota,Sequoia Limited,2011,183000,Gasoline,381.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Gold,None reported,0,Yes,16000
Toyota,Sequoia Platinum,2023,325,Hybrid,437.0HP 3.4L V6 Cylinder Engine Gas/Electric Hybrid,10-Speed A/T,Blue,None reported,0,Yes,84997
Toyota,FJ Cruiser Base,2007,179000,Gasoline,239.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,A/T,Silver,At least 1 accident or damage reported,1,Yes,17900
Toyota,Corolla Hybrid LE,2022,44459,Hybrid,121.0HP 1.8L 4 Cylinder Engine Gas/Electric Hybrid,A/T,Silver,None reported,0,Yes,22945
Toyota,Land Cruiser Base,1998,160000,Gasoline,230.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,4-Speed A/T,White,At least 1 accident or damage reported,1,Yes,12490
Toyota,Tacoma PreRunner,2013,65000,Gasoline,159.0HP 2.7L 4 Cylinder Engine Gasoline Fuel,A/T,Silver,None reported,0,Yes,20500
Toyota,Camry LE,1999,86111,Gasoline,133.0HP 2.2L 4 Cylinder Engine Gasoline Fuel,A/T,Gold,At least 1 accident or damage reported,1,Yes,3500
Honda,Civic Type R Touring,2018,72900,Gasoline,306.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,At least 1 accident or damage reported,1,Yes,35500
Nissan,Rogue SL,2019,29558,Gasoline,2.5L I4 16V MPFI DOHC,Automatic CVT,Magnetic Black,None reported,0,Yes,25884
Toyota,Highlander Limited Platinum,2015,135140,Gasoline,270.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,White,None reported,0,Yes,23500
Toyota,Tacoma SR,2020,27363,Gasoline,278.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Gray,None reported,0,Yes,35000
Honda,Pilot Elite,2021,42653,Gasoline,3.5L V6 24V GDI SOHC,9-Speed Automatic,Gray,None reported,0,No,38998
Toyota,Avalon XLS,2004,90625,Gasoline,210.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,Gray,None reported,0,Yes,5500
Toyota,Prius Touring,2009,142500,Hybrid,76.0HP 1.5L 4 Cylinder Engine Gas/Electric Hybrid,A/T,Blue,None reported,0,Yes,6999
Nissan,NV200 SV,2017,16700,Gasoline,131.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,White,None reported,0,Yes,26500
Toyota,RAV4 TRD Off Road,2020,46500,Gasoline,203.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,None reported,0,Yes,35200
Honda,S2000 Base,2000,26900,Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,M/T,Silver,None reported,0,Yes,35000
Toyota,Sequoia TRD Pro,2023,600,Hybrid,437.0HP 3.4L V6 Cylinder Engine Gas/Electric Hybrid,10-Speed A/T,Orange,None reported,0,Yes,91995
Nissan,Titan S,2017,20220,Gasoline,390.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,White,None reported,0,Yes,32324
Honda,Accord EX-L 2.0T,2019,40069,Gasoline,252.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,White,At least 1 accident or damage reported,1,Yes,27500
Nissan,Xterra S,2008,100900,Gasoline,261.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,A/T,Black,None reported,0,Yes,6999
Nissan,Frontier SV,2013,67000,Gasoline,261.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,5-Speed A/T,Blue,None reported,0,Yes,15500
Nissan,NV200 S,2019,52000,Gasoline,131.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,CVT Transmission,Black,At least 1 accident or damage reported,1,Yes,19500
Nissan,Versa 1.8 S,2011,165000,Gasoline,122.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,A/T,Black,None reported,0,Yes,4000
Honda,Ridgeline Black Edition,2017,91600,Gasoline,280.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,None reported,0,Yes,26000
Toyota,4Runner SR5,2019,91843,Gasoline,270.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,5-Speed A/T,Blue,At least 1 accident or damage reported,1,Yes,30500
Nissan,NV Passenger NV3500 HD SV V8,2015,86000,Gasoline,317.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,A/T,Silver,None reported,0,Yes,29500
Nissan,Armada SL,2019,59980,Gasoline,390.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,Silver,None reported,0,Yes,29000
Toyota,Sequoia TRD Pro,2020,37428,Gasoline,381.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,White,None reported,0,Yes,61599
Honda,Crosstour EX-L,2012,90742,Gasoline,192.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,A/T,Gray,None reported,0,Yes,12980
Toyota,FJ Cruiser Base,2014,86000,Gasoline,260.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,5-Speed A/T,Blue,None reported,0,Yes,41500
Toyota,Tundra SR5,2019,56000,Gasoline,381.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Blue,None reported,0,Yes,42000
Honda,Civic Si Base,2020,6025,Gasoline,205.0HP 1.5L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,Gray,None reported,0,Yes,27500
Honda,Ridgeline RTL-E,2022,9642,Gasoline,3.5L V6 24V GDI SOHC,9-Speed Automatic,Radiant Red Metallic II,None reported,0,No,38999
Toyota,FJ Cruiser Base,2007,162000,Gasoline,239.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,5-Speed A/T,Black,None reported,0,Yes,23977
Nissan,GT-R Premium,2009,60747,Gasoline,480.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,White,At least 1 accident or damage reported,1,Yes,71999
Nissan,GT-R Black Edition,2015,16850,Gasoline,545.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,None reported,0,Yes,95000
Nissan,Pathfinder Platinum,2014,112600,Gasoline,260.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,CVT Transmission,Black,At least 1 accident or damage reported,1,Yes,13000
Nissan,GT-R Premium,2009,88000,Gasoline,480.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,At least 1 accident or damage reported,1,Yes,57000
Nissan,370Z NISMO Tech,2016,42600,Gasoline,350.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Red,At least 1 accident or damage reported,1,Yes,31950
Honda,Pilot Black Edition,2022,22564,Gasoline,3.5 Liter,Automatic,Platinum White Pearl,None reported,0,No,44998
Toyota,4Runner Limited,2004,186117,Gasoline,245.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,A/T,Black,None reported,0,Yes,13000
Nissan,GT-R Premium,2017,31150,Gasoline,565.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Orange,None reported,0,Yes,113000
Nissan,Frontier SV,2012,96600,Gasoline,261.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,A/T,Beige,At least 1 accident or damage reported,1,Yes,17000
Toyota,Highlander LE Plus,2015,198000,Gasoline,270.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,White,None reported,0,Yes,14000
Honda,Odyssey Elite,2019,82000,Gasoline,280.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,Silver,None reported,0,Yes,32471
Toyota,GR86 Base,2022,13400,Gasoline,228.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,Silver,None reported,0,Yes,33499
Toyota,Sequoia Limited,2017,67000,E85 Flex Fuel,381.0HP 5.7L 8 Cylinder Engine Flex Fuel Capability,6-Speed A/T,Silver,None reported,0,Yes,37999
Toyota,Camry Hybrid XLE,2018,69641,Hybrid,208.0HP 2.5L 4 Cylinder Engine Gas/Electric Hybrid,CVT Transmission,White,At least 1 accident or damage reported,1,Yes,23995
Toyota,GR86 Premium,2022,1275,Gasoline,228.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,Blue,None reported,0,Yes,47999
Toyota,Tundra Hybrid Capstone,2023,200,Hybrid,437.0HP 3.4L V6 Cylinder Engine Gas/Electric Hybrid,10-Speed A/T,Blue,None reported,0,Yes,82500
Toyota,Sequoia Limited,2005,86000,Gasoline,282.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,A/T,Silver,None reported,0,Yes,22500
Nissan,Titan SV,2023,6200,Gasoline,400.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,9-Speed A/T,Black,None reported,0,Yes,48000
Toyota,RAV4 Base,2010,123620,Gasoline,179.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,4-Speed A/T,Black,At least 1 accident or damage reported,1,Yes,9900
Honda,Civic Sport,2022,25420,Gasoline,158.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,CVT Transmission,Red,None reported,0,Yes,24500
Nissan,Cube 1.8 S,2010,72500,Gasoline,122.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,Brown,None reported,0,Yes,6750
Toyota,4Runner Limited,2018,95000,Gasoline,270.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,A/T,Silver,None reported,0,Yes,33000
Toyota,FJ Cruiser Base,2007,193827,Gasoline,239.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,A/T,Silver,None reported,0,Yes,14950
Toyota,Camry Solara SLE,2007,37216,Gasoline,210.0HP 3.3L V6 Cylinder Engine Gasoline Fuel,A/T,Red,At least 1 accident or damage reported,1,Yes,14995
Toyota,Sequoia SR5,2002,244200,Gasoline,240.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,A/T,White,At least 1 accident or damage reported,1,Yes,3950
Toyota,Highlander XLE,2019,81301,Gasoline,3.5L V6 24V PDI DOHC,8-Speed Automatic,Black,None reported,0,Yes,30275
Toyota,Highlander XLE,2023,8727,Gasoline,2.4L I4 16V PDI DOHC Turbo,8-Speed Automatic,Ruby Flare Pearl,None reported,0,No,44596
Toyota,4Runner TRD Off Road,2019,79500,Gasoline,270.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,A/T,White,None reported,0,Yes,33333
Toyota,Highlander Limited,2008,165520,Gasoline,270.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Gray,At least 1 accident or damage reported,1,Yes,9000
